identifiant,nom_categorie,type_cat,url,id_parent
ui-id-220,Jeu plein air,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/jeu-plein-air.html,ui-id-153
ui-id-154,Décoration extérieure,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/decoration-exterieure.html,ui-id-9
ui-id-221,Décoration du jardin,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/decoration-exterieure/decoration-du-jardin.html,ui-id-154
ui-id-222,Bassin,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/decoration-exterieure/bassin.html,ui-id-154
ui-id-223,Galet décoratif,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/decoration-exterieure/galet-decoratif.html,ui-id-154
ui-id-10,Animalerie,CAT,https://www.lamaison.fr/animalerie.html,
ui-id-224,Chien,S_CAT,https://www.lamaison.fr/animalerie/chien.html,ui-id-10
ui-id-232,Alimentation,PAGE_LIST,https://www.lamaison.fr/animalerie/chien/alimentation.html,ui-id-224
ui-id-233,Friandise,PAGE_LIST,https://www.lamaison.fr/animalerie/chien/friandise.html,ui-id-224
ui-id-234,"Gamelle, distributeur",PAGE_LIST,https://www.lamaison.fr/animalerie/chien/gamelle-distributeur.html,ui-id-224
ui-id-235,Hygiène et soin,PAGE_LIST,https://www.lamaison.fr/animalerie/chien/hygiene-et-soin.html,ui-id-224
ui-id-236,Equipement de toilettage,PAGE_LIST,https://www.lamaison.fr/animalerie/chien/equipement-de-toilettage.html,ui-id-224
ui-id-237,Aide à l'éducation,PAGE_LIST,https://www.lamaison.fr/animalerie/chien/aide-a-l-education.html,ui-id-224
ui-id-238,Jouet et sport,PAGE_LIST,https://www.lamaison.fr/animalerie/chien/jouet-et-sport.html,ui-id-224
ui-id-239,Couchage,PAGE_LIST,https://www.lamaison.fr/animalerie/chien/couchage.html,ui-id-224
ui-id-240,Transport,PAGE_LIST,https://www.lamaison.fr/animalerie/chien/transport.html,ui-id-224
ui-id-241,Habitat,PAGE_LIST,https://www.lamaison.fr/animalerie/chien/habitat.html,ui-id-224
ui-id-242,"Sellerie, vêtement",PAGE_LIST,https://www.lamaison.fr/animalerie/chien/sellerie-vetement.html,ui-id-224
ui-id-225,Chat,S_CAT,https://www.lamaison.fr/animalerie/chat.html,ui-id-10
ui-id-243,Alimentation,PAGE_LIST,https://www.lamaison.fr/animalerie/chat/alimentation.html,ui-id-225
ui-id-244,Friandise,PAGE_LIST,https://www.lamaison.fr/animalerie/chat/friandise.html,ui-id-225
ui-id-245,"Gamelle, distributeur",PAGE_LIST,https://www.lamaison.fr/animalerie/chat/gamelle-distributeur.html,ui-id-225
ui-id-246,"Litière, accessoires",PAGE_LIST,https://www.lamaison.fr/animalerie/chat/litiere-accessoires.html,ui-id-225
ui-id-247,Hygiène et soin,PAGE_LIST,https://www.lamaison.fr/animalerie/chat/hygiene-et-soin.html,ui-id-225
